dataset,size,proxy,self,concat,concat.smoothed,sepDec.smoothed,datasetEmbeds.smoothed
UD_French-Spoken,fr_spoken,,---,15282,86.33,89.14,90.74,92.20,90.00
UD_Old_French-SRCMF,fro_srcmf,,---,136020,97.74,97.19,97.55,97.99,97.83
UD_Irish-IDT,ga_idt,,---,95881,87.03,85.75,88.83,90.58,88.61
UD_Irish-TwittIrish,ga_twittirish,,---,0,39.08,47.78,44.88,38.60,44.56
UD_Scottish_Gaelic-ARCOSG,gd_arcosg,,---,53927,83.26,83.09,87.37,88.00,86.29
UD_Galician-CTG,gl_ctg,,---,86676,85.97,85.97,85.97,85.97,85.97
UD_Galician-TreeGal,gl_treegal,,---,16707,77.82,79.78,83.37,84.08,81.39
UD_Gothic-PROIEL,got_proiel,,---,35024,83.92,84.88,90.69,91.42,89.96
UD_Ancient_Greek-Perseus,grc_perseus,,---,159895,80.34,81.51,90.75,92.11,91.74
UD_Ancient_Greek-PROIEL,grc_proiel,,---,187033,82.66,83.01,91.88,92.75,92.90
UD_Swiss_German-UZH,gsw_uzh,,de\_hdt,0,21.42,53.12,47.48,27.29,42.01
UD_Guajajara-TuDeT,gub_tudet,,---,0,57.10,39.68,43.85,57.10,39.84
UD_Mbya_Guarani-Thomas,gun_thomas,,it\_isdt,0,51.22,51.01,53.84,44.91,50.23
UD_Manx-Cadhan,gv_cadhan,,en\_singpar,0,83.94,83.94,83.94,83.94,83.94
UD_Hebrew-HTB,he_htb,,---,169397,52.39,50.90,52.94,53.66,52.64
UD_Hindi-HDTB,hi_hdtb,,---,281057,93.71,93.32,94.13,94.43,94.29
UD_Hindi-PUD,hi_pud,,hi\_hdtb,0,22.81,22.96,23.01,22.95,23.03
UD_Croatian-SET,hr_set,,---,152857,95.58,94.63,96.11,96.94,96.16
UD_Upper_Sorbian-UFAL,hsb_ufal,,---,460,37.17,49.63,66.92,66.11,52.87
UD_Hungarian-Szeged,hu_szeged,,---,20166,85.29,87.22,93.60,95.01,90.63
UD_Armenian-ArmTDP,hy_armtdp,,---,42373,82.18,80.17,87.45,90.04,83.39
UD_Western_Armenian-ArmTDP,hyw_armtdp,,---,16089,68.49,72.66,84.76,86.22,76.84
UD_Indonesian-CSUI,id_csui,,---,18540,93.18,90.49,92.60,94.84,92.12
UD_Indonesian-GSD,id_gsd,,---,96485,94.53,93.53,95.15,95.55,95.08
UD_Indonesian-PUD,id_pud,,id\_gsd,0,68.08,68.84,69.30,68.23,69.34
UD_Icelandic-IcePaHC,is_icepahc,,---,706791,91.19,90.23,89.19,90.61,91.51
UD_Icelandic-Modern,is_modern,,---,123879,97.89,95.86,97.65,98.60,98.47
UD_Icelandic-PUD,is_pud,,is\_icepahc,0,38.53,57.78,56.97,38.43,47.00
UD_Italian-ISDT,it_isdt,,---,294430,87.30,86.88,86.85,87.43,87.28
UD_Italian-ParTUT,it_partut,,---,52390,84.53,85.03,85.39,85.94,85.43
UD_Italian-PoSTWITA,it_postwita,,---,103658,89.37,89.29,90.18,90.35,90.24
UD_Italian-PUD,it_pud,,it\_isdt,0,48.21,48.12,48.03,48.21,48.14
UD_Italian-TWITTIRO,it_twittiro,,---,24610,83.71,90.60,90.99,90.86,90.82
UD_Italian-Valico,it_valico,,---,0,87.45,87.75,87.87,89.22,88.81
UD_Italian-VIT,it_vit,,---,241383,88.10,86.81,87.19,88.29,87.58
UD_Japanese-GSD,ja_gsd,,---,168333,100.00,100.00,100.00,100.00,100.00
UD_Japanese-Modern,ja_modern,,ja\_gsd,0,100.00,100.00,100.00,100.00,100.00
UD_Japanese-PUD,ja_pud,,ja\_gsd,0,100.00,100.00,100.00,100.00,100.00
UD_Khunsari-AHA,kfm_aha,,fa\_perdt,0,40.09,40.09,39.19,42.34,39.19
UD_Kazakh-KTB,kk_ktb,,---,547,34.33,49.72,77.56,73.08,64.54
UD_Kurmanji-MG,kmr_mg,,---,242,38.11,31.56,58.53,62.31,41.21
UD_Korean-GSD,ko_gsd,,---,56687,100.00,100.00,100.00,100.00,100.00
UD_Korean-Kaist,ko_kaist,,---,296446,100.00,100.00,100.00,100.00,100.00
UD_Korean-PUD,ko_pud,,ko\_kaist,0,100.00,100.00,100.00,100.00,100.00
UD_Komi_Permyak-UH,koi_uh,,ru\_syntagrus,0,35.04,35.32,28.84,30.55,30.59
UD_Komi_Zyrian-IKDP,kpv_ikdp,,ru\_syntagrus,0,36.10,36.52,33.53,37.20,33.12
UD_Komi_Zyrian-Lattice,kpv_lattice,,ru\_syntagrus,0,30.18,30.43,24.68,26.76,25.71
UD_Karelian-KKPP,krl_kkpp,,fi\_tdt,0,62.21,58.66,65.04,66.19,62.72
UD_Latin-ITTB,la_ittb,,---,390785,96.56,96.11,96.00,97.10,96.95
UD_Latin-LLCT,la_llct,,---,194143,96.58,96.11,96.41,97.01,96.79
UD_Latin-Perseus,la_perseus,,---,18184,71.81,77.91,81.45,88.32,84.32
UD_Latin-PROIEL,la_proiel,,---,172133,90.69,90.08,91.26,92.78,92.56
UD_Latin-UDante,la_udante,,---,30537,58.64,65.84,75.55,82.89,69.72
UD_Lithuanian-ALKSNIS,lt_alksnis,,---,47645,82.02,76.38,87.80,93.14,83.84
UD_Lithuanian-HSE,lt_hse,,---,3210,49.00,62.83,68.83,83.43,65.19
UD_Latvian-LVTB,lv_lvtb,,---,193105,93.75,91.77,93.74,95.17,94.19
UD_Classical_Chinese-Kyoto,lzh_kyoto,,---,221090,94.61,94.55,93.23,93.67,95.03
UD_Moksha-JR,mdf_jr,,ru\_syntagrus,0,23.61,25.70,22.76,23.87,22.74
UD_Makurap-TuDeT,mpu_tudet,,---,0,10.05,29.45,27.85,11.87,25.12
UD_Maltese-MUDT,mt_mudt,,---,22880,100.00,100.00,100.00,100.00,100.00
UD_Munduruku-TuDeT,myu_tudet,,ro\_nonstandard,0,20.75,47.55,47.30,16.63,45.14
UD_Erzya-JR,myv_jr,,be\_hse,0,27.77,28.59,26.51,30.83,25.95
UD_Low_Saxon-LSDC,nds_lsdc,,---,0,37.47,52.52,44.99,38.42,47.56
UD_Dutch-Alpino,nl_alpino,,---,186145,97.15,97.50,97.99,97.97,98.02
UD_Dutch-LassySmall,nl_lassysmall,,---,75222,96.88,96.55,96.71,97.15,96.84
UD_Norwegian-Bokmaal,no_bokmaal,,---,243886,97.28,96.81,97.45,97.85,97.83
UD_Norwegian-Nynorsk,no_nynorsk,,---,245330,97.21,96.91,97.34,97.71,97.66
UD_Norwegian-NynorskLIA,no_nynorsklia,,---,35207,94.03,95.02,95.76,96.08,95.76
UD_Nayini-AHA,nyq_aha,,fa\_perdt,0,40.60,49.57,47.01,42.31,44.87
UD_Livvi-KKPP,olo_kkpp,,---,144,35.82,56.85,57.88,50.27,54.33
UD_Old_East_Slavic-RNC,orv_rnc,,---,10156,56.92,65.14,76.20,84.35,69.17
UD_Old_East_Slavic-TOROT,orv_torot,,---,118630,74.11,73.37,89.04,91.03,90.03
UD_Old_Turkish-Tonqq,otk_tonqq,,et\_ewt,0,79.34,98.34,75.27,53.54,88.24
UD_Naija-NSC,pcm_nsc,,---,111935,99.03,99.03,99.06,99.12,99.13
UD_Polish-LFG,pl_lfg,,---,104750,95.31,88.22,91.83,97.60,94.76
UD_Polish-PDB,pl_pdb,,---,283746,94.13,90.11,89.78,95.58,94.16
UD_Polish-PUD,pl_pud,,pl\_pdb,0,94.12,91.19,90.62,95.02,93.41
UD_Portuguese-Bosque,pt_bosque,,---,222141,85.21,84.97,85.05,85.60,85.27
UD_Portuguese-GSD,pt_gsd,,---,273564,89.45,89.45,89.45,89.45,89.45
UD_Portuguese-PUD,pt_pud,,pt\_gsd,0,90.14,90.14,90.14,90.14,90.14
UD_Frisian_Dutch-Fame,qfn_fame,,---,0,13.62,45.62,44.32,21.34,40.27
UD_Turkish_German-SAGT,qtd_sagt,,---,10160,67.09,75.22,81.78,84.43,77.37
UD_Kiche-IU,quc_iu,,---,0,52.34,40.45,35.06,33.83,35.85
UD_Romanian-ArT,ro_art,,---,0,44.73,45.66,46.83,47.41,47.53
UD_Romanian-Nonstandard,ro_nonstandard,,---,532881,91.33,90.60,90.70,91.85,91.42
UD_Romanian-RRT,ro_rrt,,---,185113,97.27,94.59,95.19,97.80,97.03
UD_Romanian-SiMoNERo,ro_simonero,,---,116857,97.25,96.18,96.78,97.79,97.29
UD_Russian-GSD,ru_gsd,,---,74906,93.31,91.87,93.73,95.81,93.49
UD_Russian-PUD,ru_pud,,ru\_syntagrus,0,92.49,89.87,88.35,92.74,91.49
UD_Russian-SynTagRus,ru_syntagrus,,---,871526,97.80,96.54,91.45,98.00,97.89
UD_Russian-Taiga,ru_taiga,,---,176626,93.30,87.76,91.17,95.74,93.14
UD_Sanskrit-UFAL,sa_ufal,,hi\_hdtb,0,15.72,17.47,30.45,19.82,29.26
UD_Sanskrit-Vedic,sa_vedic,,---,17445,72.52,75.15,81.40,81.29,79.78
UD_Slovak-SNK,sk_snk,,---,80743,91.88,88.28,90.34,95.39,91.21
UD_Slovenian-SSJ,sl_ssj,,---,112530,94.36,93.25,95.95,97.35,95.99
UD_Slovenian-SST,sl_sst,,---,19473,78.14,89.99,93.00,92.76,92.40
UD_North_Sami-Giella,sme_giella,,---,16835,81.44,80.17,88.32,88.74,85.54
UD_Skolt_Sami-Giellagas,sms_giellagas,,id\_gsd,0,42.72,42.06,41.29,31.55,42.26
UD_Soi-AHA,soj_aha,,fa\_perdt,0,50.91,36.37,33.94,51.52,36.97
UD_Albanian-TSA,sq_tsa,,ga\_idt,0,33.59,28.09,33.51,30.91,32.54
UD_Serbian-SET,sr_set,,---,74259,94.64,94.96,96.25,96.91,96.12
UD_Swedish-LinES,sv_lines,,---,55451,89.79,88.67,90.22,91.11,90.35
UD_Swedish-PUD,sv_pud,,sv\_lines,0,75.30,79.61,79.84,76.38,79.16
UD_Swedish-Talbanken,sv_talbanken,,---,66674,96.59,95.65,97.44,98.03,97.41
UD_Swedish_Sign_Language-SSLC,swl_sslc,,---,644,100.00,100.00,100.00,100.00,100.00
UD_Tamil-MWTT,ta_mwtt,,ta\_ttb,0,33.40,33.81,34.82,35.89,34.52
UD_Tamil-TTB,ta_ttb,,---,6849,62.71,54.28,73.74,76.40,63.99
UD_Telugu-MTG,te_mtg,,---,5082,100.00,100.00,100.00,100.00,100.00
UD_Thai-PUD,th_pud,,en\_ewt,0,25.84,53.37,66.66,26.95,65.61
UD_Tagalog-TRG,tl_trg,,en\_singpar,0,100.00,100.00,100.00,100.00,100.00
UD_Tagalog-Ugnayan,tl_ugnayan,,en\_singpar,0,87.76,87.76,87.76,87.76,87.76
UD_Tupinamba-TuDeT,tpn_tudet,,cs\_pdt,0,98.34,98.34,98.34,98.34,98.34
UD_Turkish-BOUN,tr_boun,,---,99165,89.85,79.39,78.74,91.18,85.45
UD_Turkish-FrameNet,tr_framenet,,---,16333,88.87,89.73,91.05,93.82,92.43
UD_Turkish-GB,tr_gb,,tr\_boun,0,31.42,31.73,32.26,33.53,32.30
UD_Turkish-IMST,tr_imst,,---,38733,84.50,67.48,73.77,90.22,78.41
UD_Turkish-Kenet,tr_kenet,,---,143288,90.45,87.27,87.64,91.46,90.46
UD_Turkish-Penn,tr_penn,,---,79556,91.67,90.61,91.17,92.52,91.62
