dataset,size,proxy,self,concat,concat.smoothed,sepDec.smoothed,datasetEmbeds.smoothed
UD_Estonian-EDT,et_edt,{\small \cite{muischnek2014estonian}},---,344953,93.62,91.28,88.87,90.60,91.30
UD_Estonian-EWT,et_ewt,{\small \cite{muischnek2019cg}},---,34337,78.37,91.40,89.98,89.04,91.24
UD_Basque-BDT,eu_bdt,{\small \cite{aranzabe2015automatic}},---,72974,91.77,90.06,91.30,93.18,90.19
UD_Persian-PerDT,fa_perdt,{\small \cite{sadegh2020persian}},---,459004,96.68,94.50,93.25,96.04,94.51
UD_Persian-Seraji,fa_seraji,{\small \cite{seraji-etal-2016-universal}},---,122180,99.08,99.08,99.08,99.08,99.08
UD_Finnish-FTB,fi_ftb,{\small \cite{ud_finnish_ftb_2017}},---,127845,91.08,87.60,87.43,90.92,89.44
UD_Finnish-OOD,fi_ood,{\small \cite{ud_finnish_ood_2020}},fi\_tdt,0,83.87,80.47,80.07,84.09,82.07
UD_Finnish-PUD,fi_pud,{\small \cite{mcdonald-etal-2013-universal}},fi\_tdt,0,87.72,84.87,84.45,88.56,86.13
UD_Finnish-TDT,fi_tdt,{\small \cite{pyysalo-etal-2015-universal}},---,163223,86.17,82.91,82.60,87.00,84.42
UD_Faroese-FarPaHC,fo_farpahc,{\small \cite{20.500.12537/92}},---,23099,99.98,99.98,99.98,99.98,99.98
UD_Faroese-OFT,fo_oft,{\small \cite{tyers-etal-2018-multi}},fo\_farpahc,0,100.00,100.00,100.00,100.00,100.00
UD_French-FQB,fr_fqb,{\small \cite{seddah-candito-2016-hard}},fr\_gsd,0,93.48,93.22,93.40,93.50,93.30
UD_French-GSD,fr_gsd,{\small \cite{guillaume2019conversion}},---,364349,93.92,93.64,93.48,93.98,93.74
UD_French-ParTUT,fr_partut,{\small \cite{Sanguinetti2014}},---,24922,86.30,89.75,90.71,90.53,89.82
UD_French-PUD,fr_pud,{\small \cite{mcdonald-etal-2013-universal}},fr\_gsd,0,93.54,94.45,94.44,94.73,94.56
UD_French-Sequoia,fr_sequoia,{\small \cite{bonfante2018application}},---,51877,91.08,93.30,93.63,93.71,93.43
UD_French-Spoken,fr_spoken,{\small \cite{lacheret2019rhapsodie}},---,15423,87.65,95.25,95.64,94.55,95.21
UD_Old_French-SRCMF,fro_srcmf,{\small \cite{stein2013syntactic}},---,136020,100.00,100.00,100.00,100.00,100.00
UD_Irish-IDT,ga_idt,{\small \cite{lynn2016universal}},---,95860,90.95,89.91,91.08,92.20,89.89
UD_Scottish_Gaelic-ARCOSG,gd_arcosg,{\small \cite{batchelor-2019-universal}},---,41307,86.31,85.41,88.70,88.95,85.38
UD_Galician-CTG,gl_ctg,{\small \cite{gomez2017recursos}},---,86676,82.23,83.60,83.90,83.95,83.60
UD_Galician-TreeGal,gl_treegal,{\small \cite{garcia2016universal}},---,16707,79.29,82.70,84.47,85.25,82.78
UD_Gothic-PROIEL,got_proiel,{\small \cite{haug2008creating}},---,35024,82.60,78.97,85.07,88.09,79.00
UD_Ancient_Greek-Perseus,grc_perseus,{\small \cite{bamman2011ancient}},---,159895,68.78,69.12,68.92,70.82,69.01
UD_Ancient_Greek-PROIEL,grc_proiel,{\small \cite{eckhoff2018proiel}},---,187033,78.52,73.98,73.81,78.88,73.95
UD_Swiss_German-UZH,gsw_uzh,{\small \cite{aepli2018parsing}},de\_hdt,0,100.00,100.00,100.00,100.00,100.00
UD_Mbya_Guarani-Thomas,gun_thomas,{\small \cite{thomas-2019-universal}},it\_isdt,0,59.86,56.27,53.36,54.70,56.10
UD_Manx-Cadhan,gv_cadhan,{\small \cite{scannell-2020-universal}},en\_singpar,0,89.57,89.57,89.57,89.57,89.57
UD_Hebrew-HTB,he_htb,{\small \cite{mcdonald-etal-2013-universal}},---,169401,52.88,52.31,52.83,53.25,52.34
UD_Hindi-HDTB,hi_hdtb,{\small \cite{palmer2009hindi}},---,281057,98.55,98.43,98.47,98.57,98.47
UD_Hindi-PUD,hi_pud,{\small \cite{mcdonald-etal-2013-universal}},hi\_hdtb,0,100.00,100.00,100.00,100.00,100.00
UD_Croatian-SET,hr_set,{\small \cite{agic-ljubesic-2015-universal}},---,152857,95.75,95.53,95.72,96.57,95.49
UD_Upper_Sorbian-UFAL,hsb_ufal,{\small \cite{UD_Upper_Sorbian-UFAL}},---,460,55.58,69.72,78.53,78.52,70.47
UD_Hungarian-Szeged,hu_szeged,{\small \cite{vincze-etal-2010-hungarian}},---,20166,84.95,90.79,92.98,92.28,90.84
UD_Armenian-ArmTDP,hy_armtdp,{\small \cite{yavrumyan2017armtdp}},---,42373,85.62,85.93,89.11,89.86,85.76
UD_Indonesian-CSUI,id_csui,{\small \cite{alfina2020tree}},---,18540,86.60,86.11,91.72,94.42,86.50
UD_Indonesian-GSD,id_gsd,{\small \cite{mcdonald-etal-2013-universal}},---,97531,98.83,98.80,98.87,99.21,98.75
UD_Indonesian-PUD,id_pud,{\small \cite{mcdonald-etal-2013-universal}},id\_gsd,0,65.03,66.58,67.48,65.01,66.63
UD_Icelandic-IcePaHC,is_icepahc,{\small \cite{rognvaldsson-etal-2012-icelandic}},---,706791,95.15,94.08,91.86,92.95,94.06
UD_Icelandic-PUD,is_pud,{\small \cite{jonsdottir-ingason-2020-creating}},is\_icepahc,0,85.12,84.59,82.54,83.04,84.52
UD_Italian-ISDT,it_isdt,{\small \cite{bosco2014evalita}},---,294430,87.40,87.16,87.14,87.46,87.14
UD_Italian-ParTUT,it_partut,{\small \cite{Sanguinetti2014}},---,52390,81.97,85.27,85.66,85.74,85.32
UD_Italian-PoSTWITA,it_postwita,{\small \cite{sanguinetti-etal-2018-postwita}},---,103555,86.54,87.32,87.72,87.96,87.32
UD_Italian-PUD,it_pud,{\small \cite{mcdonald-etal-2013-universal}},it\_isdt,0,86.39,86.32,86.63,86.70,86.25
UD_Italian-TWITTIRO,it_twittiro,{\small \cite{cignarella-etal-2019-presenting}},---,24610,82.24,88.29,88.97,88.90,88.09
UD_Italian-VIT,it_vit,{\small \cite{alfieri2016almost}},---,241304,88.21,88.47,88.63,88.74,88.50
UD_Japanese-GSD,ja_gsd,{\small \cite{asahara-etal-2018-universal}},---,167482,99.48,99.15,99.22,99.39,99.16
UD_Japanese-Modern,ja_modern,{\small \cite{omura2017universal}},ja\_gsd,0,80.64,81.13,80.99,80.08,80.69
